Crop,State,Land_Area,Yield_per_Acre,Predicted_Price,Cultivation_Cost,Production,Revenue,Profit,Loan_Amount,Interest_Rate,Tenure,EMI,Profit_Margin,Debt_to_Profit_Ratio,Risk
Rice,Haryana,8.12,3.46,23882.93,101314.51,28.1,671110.33,569795.82,234217.53,11.03,6,40301.66,84.9,0.41,SAFE
Wheat,Uttar Pradesh,1.15,3.56,21250.76,83499.92,4.09,86915.61,3415.69,55367.77,8.27,12,4823.27,3.93,16.21,RISKY
Wheat,Punjab,6.02,3.72,29025.73,146117.07,22.39,649886.09,503769.02,136707.26,11.56,12,12118.15,77.52,0.27,SAFE
Rice,Punjab,1.8,2.55,25582.73,154100.88,4.59,117424.73,-36676.15,163959.66,8.9,12,14330.91,-31.23,999.0,RISKY
Wheat,Haryana,3.52,3.28,21268.91,111445.91,11.55,245655.91,134210.0,81629.18,9.51,9,9433.09,54.63,0.61,SAFE
Wheat,Bihar,7.0,3.53,18559.84,165806.37,24.71,458613.65,292807.28,162666.54,10.02,6,27908.9,63.85,0.56,SAFE
Rice,Punjab,9.98,1.93,19067.48,173079.78,19.26,367239.66,194159.88,120586.64,7.07,6,20514.23,52.87,0.62,SAFE
Wheat,Madhya Pradesh,2.09,2.06,21382.11,148016.93,4.31,92156.89,-55860.04,57208.4,7.56,9,6558.39,-60.61,999.0,RISKY
Wheat,Bihar,5.18,1.82,19766.77,85165.27,9.43,186400.64,101235.37,47544.08,10.46,9,5515.58,54.31,0.47,MODERATE
Rice,Uttar Pradesh,3.09,1.98,29567.16,175904.6,6.12,180951.02,5046.42,39342.11,7.81,6,6707.19,2.79,7.8,RISKY
Rice,Haryana,7.41,1.8,19636.07,222664.75,13.34,261945.17,39280.42,34490.53,8.63,6,5893.98,15.0,0.88,RISKY
Wheat,Madhya Pradesh,8.75,1.72,21116.74,168101.33,15.05,317806.94,149705.61,47009.35,8.35,6,8026.81,47.11,0.31,SAFE
Rice,Bihar,9.95,3.25,29999.74,233601.89,32.34,970191.59,736589.7,171115.39,8.35,9,19680.42,75.92,0.23,SAFE
Wheat,Bihar,3.06,2.35,23954.83,67338.96,7.19,172235.23,104896.27,120406.64,7.11,9,13777.98,60.9,1.15,MODERATE
Rice,Madhya Pradesh,2.47,3.42,27249.93,114241.03,8.45,230261.91,116020.88,72437.9,10.46,6,12443.97,50.39,0.62,MODERATE
Rice,Haryana,9.53,3.81,29866.91,140235.71,36.31,1084467.5,944231.79,262290.15,9.88,6,44983.35,87.07,0.28,SAFE
Wheat,Bihar,8.25,1.93,26358.64,177871.17,15.92,419629.55,241758.38,148914.87,8.81,9,17159.4,57.61,0.62,SAFE
Rice,Bihar,9.37,2.88,24280.07,154219.79,26.99,655319.09,501099.3,233303.83,10.82,6,40120.26,76.47,0.47,SAFE
Rice,Punjab,6.55,3.56,20342.16,85303.2,23.32,474379.17,389075.97,131842.49,10.62,6,22659.38,82.02,0.34,SAFE
Rice,Madhya Pradesh,7.42,3.74,21107.16,213976.21,27.75,585723.69,371747.48,157046.18,10.26,9,18204.01,63.47,0.42,SAFE
Wheat,Haryana,3.0,1.84,24009.77,127129.27,5.52,132533.93,5404.66,138737.94,11.16,12,12272.25,4.08,25.67,RISKY
Rice,Uttar Pradesh,5.2,1.71,23792.77,202137.88,8.89,211517.73,9379.85,259335.83,11.71,6,44710.82,4.43,27.65,RISKY
Rice,Haryana,9.19,3.31,29762.48,125609.14,30.42,905374.64,779765.5,73897.69,11.85,12,6560.54,86.13,0.09,SAFE
Rice,Punjab,8.49,2.79,23761.85,58692.76,23.69,562918.23,504225.47,209693.72,7.85,6,35753.49,89.57,0.42,SAFE
Rice,Madhya Pradesh,3.6,1.92,22401.68,237531.11,6.91,154795.61,-82735.5,226833.43,10.26,9,26293.4,-53.45,999.0,RISKY
Rice,Haryana,2.18,1.81,28639.52,118517.15,3.95,113126.1,-5391.05,163350.16,10.71,9,18969.56,-4.77,999.0,RISKY
Wheat,Uttar Pradesh,9.13,2.04,21040.76,155524.69,18.63,391989.36,236464.67,130709.26,7.12,9,14957.51,60.32,0.55,SAFE
Wheat,Haryana,5.79,3.08,29693.49,200388.35,17.83,529434.93,329046.58,123981.01,11.17,9,14424.73,62.15,0.38,SAFE
Wheat,Haryana,3.65,3.57,21015.01,235208.55,13.03,273825.58,38617.03,110840.4,11.42,9,12909.02,14.1,2.87,RISKY
Wheat,Madhya Pradesh,9.29,2.48,21512.35,229183.31,23.04,495644.54,266461.23,73300.83,11.44,12,6493.5,53.76,0.28,SAFE
Wheat,Uttar Pradesh,5.18,1.51,24120.27,177859.37,7.82,188620.51,10761.14,192145.11,7.79,12,16695.75,5.71,17.86,RISKY
Wheat,Uttar Pradesh,6.45,3.74,19882.85,96566.62,24.12,479574.34,383007.72,203849.52,7.8,6,34752.02,79.86,0.53,SAFE
Wheat,Punjab,2.83,2.96,21415.26,227028.92,8.38,179459.88,-47569.04,40131.6,11.59,6,6916.51,-26.51,999.0,RISKY
Wheat,Haryana,8.61,2.1,28482.42,220048.04,18.08,514962.15,294914.11,249338.42,10.75,6,42869.05,57.27,0.85,SAFE
Rice,Madhya Pradesh,7.71,2.03,21836.94,205807.04,15.65,341748.11,135941.07,73073.54,10.25,6,12545.6,39.78,0.54,SAFE
Wheat,Haryana,4.55,3.24,28786.56,161808.74,14.74,424313.89,262505.15,211187.85,7.09,6,35929.41,61.87,0.8,SAFE
Rice,Uttar Pradesh,3.73,2.39,20918.05,203844.16,8.91,186379.83,-17464.33,43413.12,8.58,6,7417.66,-9.37,999.0,RISKY
Wheat,Madhya Pradesh,3.83,2.64,19119.24,107667.02,10.11,193295.52,85628.5,31401.59,9.24,12,2749.61,44.3,0.37,MODERATE
Rice,Uttar Pradesh,2.44,2.58,22786.75,216070.15,6.3,143556.52,-72513.63,104411.4,9.12,12,9136.74,-50.51,999.0,RISKY
Rice,Madhya Pradesh,1.99,1.98,22603.05,153628.66,3.94,89056.02,-64572.64,52286.73,7.93,6,8917.12,-72.51,999.0,RISKY
Rice,Madhya Pradesh,1.78,3.99,19387.98,209871.62,7.1,137654.66,-72216.96,266911.39,10.52,12,23530.35,-52.46,999.0,RISKY
Rice,Uttar Pradesh,2.68,2.54,20071.8,130042.29,6.81,136688.96,6646.67,32945.44,8.21,9,3786.97,4.86,4.96,RISKY
Wheat,Bihar,5.72,2.06,21393.54,128523.79,11.78,252015.9,123492.11,156677.52,9.58,9,18110.87,49.0,1.27,SAFE
Wheat,Haryana,5.2,3.42,21079.13,197877.81,17.78,374786.93,176909.12,37809.45,8.85,6,6465.23,47.2,0.21,SAFE
Wheat,Madhya Pradesh,4.35,1.67,19929.76,101700.63,7.26,144690.06,42989.43,196812.44,10.66,9,22850.81,29.71,4.58,RISKY
Wheat,Punjab,9.87,1.7,20909.44,73348.66,16.78,350860.4,277511.74,255512.21,9.74,6,43803.3,79.09,0.92,SAFE
Rice,Punjab,3.98,3.54,24793.21,122300.64,14.09,349336.33,227035.69,252851.83,7.68,12,21957.79,64.99,1.11,SAFE
Wheat,Haryana,1.46,2.8,29327.7,199613.18,4.09,119950.29,-79662.89,81132.28,11.58,9,9455.23,-66.41,999.0,RISKY
Rice,Haryana,5.53,2.95,25168.11,228614.28,16.31,410491.87,181877.59,91472.44,10.25,12,8052.52,44.31,0.5,SAFE
Wheat,Punjab,7.5,2.93,26832.81,57903.65,21.98,589785.16,531881.51,275665.85,10.61,12,24313.69,90.18,0.52,SAFE
Wheat,Haryana,3.39,1.67,18803.46,231860.01,5.66,106427.58,-125432.43,138654.0,11.06,6,23860.16,-117.86,999.0,RISKY
Rice,Madhya Pradesh,3.48,2.17,19799.37,244380.28,7.55,149485.24,-94895.04,231498.65,9.57,12,20306.14,-63.48,999.0,RISKY
Wheat,Bihar,6.62,2.26,18343.0,151122.57,14.96,274411.28,123288.71,39447.88,7.88,9,4528.27,44.93,0.32,SAFE
Wheat,Madhya Pradesh,6.69,2.02,29260.46,208797.21,13.51,395308.81,186511.6,148737.98,11.01,6,25591.78,47.18,0.8,SAFE
Wheat,Punjab,8.16,2.56,20692.74,136802.87,20.89,432271.34,295468.47,254151.78,11.35,6,43771.88,68.35,0.86,SAFE
Wheat,Madhya Pradesh,5.24,3.53,23952.67,70772.02,18.5,443124.39,372352.37,274687.12,10.05,6,47132.47,84.03,0.74,SAFE
Rice,Bihar,7.98,3.85,29973.09,216176.89,30.72,920773.32,704596.43,115561.16,9.8,12,10148.92,76.52,0.16,SAFE
Rice,Uttar Pradesh,2.94,2.65,27028.88,219455.38,7.79,210554.98,-8900.4,46840.18,9.78,6,8030.89,-4.23,999.0,RISKY
Rice,Bihar,2.24,3.24,27779.76,66969.9,7.26,201681.06,134711.16,231078.91,8.06,12,20107.6,66.79,1.72,SAFE
Rice,Bihar,9.03,2.64,24457.67,72131.3,23.84,583070.85,510939.55,141985.42,11.4,9,16534.97,87.63,0.28,SAFE
Rice,Haryana,6.71,1.94,22889.59,168559.24,13.02,298022.46,129463.22,106011.58,10.9,6,18234.54,43.44,0.82,SAFE
Rice,Haryana,2.16,3.93,26320.11,68979.06,8.49,223457.73,154478.67,299581.5,7.44,6,51019.32,69.13,1.94,SAFE
Wheat,Punjab,2.7,3.24,28353.24,170474.0,8.75,248090.85,77616.85,167626.25,8.22,6,28611.33,31.29,2.16,MODERATE
Rice,Bihar,4.43,1.95,22795.17,196579.92,8.64,196950.27,370.35,214462.8,11.0,6,36899.3,0.19,579.08,RISKY
Rice,Uttar Pradesh,7.31,2.94,21922.57,132449.53,21.49,471116.03,338666.5,221841.4,8.43,6,37887.96,71.89,0.66,SAFE
Wheat,Bihar,5.71,3.06,25900.88,186955.24,17.47,452488.37,265533.13,111494.4,9.3,6,19089.69,58.68,0.42,SAFE
Wheat,Madhya Pradesh,9.46,3.63,21756.6,163765.1,34.34,747121.64,583356.54,124354.17,7.24,6,21165.55,78.08,0.21,SAFE
Rice,Punjab,5.71,2.53,25715.13,90529.97,14.45,371583.63,281053.66,40376.98,9.83,6,6923.75,75.64,0.14,SAFE
Rice,Bihar,1.87,3.82,26797.38,227015.33,7.14,191333.29,-35682.04,70997.91,8.86,12,6204.26,-18.65,999.0,RISKY
Rice,Uttar Pradesh,5.41,3.04,21469.23,66613.16,16.45,353168.83,286555.67,177120.52,7.7,6,30186.59,81.14,0.62,SAFE
Rice,Haryana,7.27,1.77,29429.5,188464.9,12.87,378757.66,190292.76,151812.8,11.49,6,26156.8,50.24,0.8,SAFE
Rice,Madhya Pradesh,6.5,3.44,24336.64,201276.62,22.36,544167.27,342890.65,199844.35,10.06,6,34291.48,63.01,0.58,SAFE
Rice,Punjab,5.18,2.0,18276.18,100260.02,10.36,189341.22,89081.2,292746.61,9.91,6,50211.03,47.05,3.29,MODERATE
Wheat,Madhya Pradesh,1.37,2.92,26856.93,236366.48,4.0,107427.72,-128938.76,211257.62,11.81,6,36432.33,-120.02,999.0,RISKY
Wheat,Haryana,4.53,2.69,24196.23,159128.36,12.19,294952.04,135823.68,190569.96,10.78,9,22136.87,46.05,1.4,SAFE
Rice,Bihar,7.19,1.71,25467.47,139724.42,12.29,312995.21,173270.79,187979.02,9.19,6,32174.95,55.36,1.08,SAFE
Wheat,Punjab,2.04,2.79,20544.22,66094.88,5.69,116896.61,50801.73,148093.81,9.67,6,25383.1,43.46,2.92,MODERATE
Rice,Uttar Pradesh,2.85,2.17,24507.52,231885.64,6.18,151456.47,-80429.17,129353.59,9.25,12,11327.16,-53.1,999.0,RISKY
Rice,Uttar Pradesh,6.19,1.81,20319.58,137970.26,11.2,227579.3,89609.04,32329.01,10.03,12,2842.68,39.37,0.36,MODERATE
Wheat,Haryana,2.7,2.4,21126.93,100295.01,6.48,136902.51,36607.5,235256.12,10.42,9,27287.54,26.74,6.43,RISKY
Rice,Uttar Pradesh,7.92,3.83,25950.42,125533.03,30.33,787076.24,661543.21,71275.62,10.42,12,6280.19,84.05,0.11,SAFE
Rice,Punjab,4.18,1.83,26317.32,187681.91,7.65,201327.5,13645.59,244387.89,9.86,6,41910.67,6.78,17.91,RISKY
Wheat,Punjab,5.12,2.99,22855.48,189900.54,15.31,349917.4,160016.86,226532.44,8.69,6,38718.1,45.73,1.42,SAFE
Rice,Haryana,5.63,1.52,24448.7,150639.65,8.56,209280.87,58641.22,48683.1,7.1,6,8282.7,28.02,0.83,MODERATE
Wheat,Haryana,7.79,3.34,24696.72,111748.19,26.02,642608.65,530860.46,296092.85,8.0,12,25756.65,82.61,0.56,SAFE
Wheat,Punjab,5.59,2.5,18794.37,106167.0,13.97,262557.35,156390.35,68078.05,10.09,6,11682.58,59.56,0.44,SAFE
Wheat,Madhya Pradesh,1.8,3.39,22539.59,216122.44,6.1,137491.5,-78630.94,159937.67,8.1,6,27289.56,-57.19,999.0,RISKY
Wheat,Punjab,6.99,2.51,24878.02,208281.89,17.54,436360.47,228078.58,150730.68,7.66,9,17286.92,52.27,0.66,SAFE
Wheat,Bihar,2.6,2.06,21211.37,213214.83,5.36,113692.94,-99521.89,162165.62,10.49,12,14293.92,-87.54,999.0,RISKY
Wheat,Bihar,6.83,2.73,29885.2,82800.28,18.65,557358.98,474558.7,201778.04,9.27,9,23294.63,85.14,0.43,SAFE
Wheat,Uttar Pradesh,5.36,1.76,23450.09,214679.56,9.43,221134.35,6454.79,284014.91,8.82,9,32728.26,2.92,44.0,RISKY
Rice,Madhya Pradesh,9.56,2.55,28357.49,216762.4,24.38,691355.61,474593.21,45281.61,10.18,6,7772.59,68.65,0.1,SAFE
Rice,Uttar Pradesh,5.73,3.79,24651.31,158179.01,21.72,535426.45,377247.44,93221.18,11.75,6,16073.65,70.46,0.25,SAFE
Wheat,Uttar Pradesh,7.74,3.52,29193.14,163224.26,27.24,795221.13,631996.87,90084.75,7.36,12,7809.7,79.47,0.14,SAFE
Rice,Bihar,5.87,3.36,29771.74,124838.36,19.72,587098.71,462260.35,52033.01,11.82,12,4618.69,78.74,0.11,SAFE
Wheat,Haryana,4.59,3.71,20765.03,138395.45,17.03,353628.46,215233.01,83756.71,10.11,9,9702.71,60.86,0.39,SAFE
Wheat,Bihar,9.77,2.25,24357.76,217618.47,21.98,535383.56,317765.09,68880.46,9.29,6,11793.14,59.35,0.22,SAFE
Wheat,Uttar Pradesh,6.49,3.11,26181.85,73365.08,20.18,528349.73,454984.65,270330.77,9.16,12,23660.89,86.11,0.59,SAFE
Wheat,Madhya Pradesh,8.77,3.09,22907.02,130630.1,27.1,620780.24,490150.14,246924.29,9.26,6,42272.67,78.96,0.5,SAFE
Rice,Madhya Pradesh,3.32,3.88,27339.26,180427.74,12.88,352129.67,171701.93,156635.83,8.92,9,18057.22,48.76,0.91,SAFE
Wheat,Bihar,4.47,2.51,24716.82,113737.4,11.22,277322.72,163585.32,83162.37,8.65,12,7259.18,58.99,0.51,SAFE
Wheat,Madhya Pradesh,5.86,3.28,28710.96,212433.32,19.22,551824.65,339391.33,52296.66,11.36,6,9007.17,61.5,0.15,SAFE
Rice,Haryana,3.6,3.13,29821.63,123753.12,11.27,336089.77,212336.65,274907.82,8.37,12,23960.86,63.18,1.29,SAFE
Rice,Uttar Pradesh,5.53,3.3,23552.48,201415.87,18.25,429832.76,228416.89,101581.53,10.64,6,17459.52,53.14,0.44,SAFE
Rice,Madhya Pradesh,6.64,2.29,18158.44,188119.52,15.21,276189.87,88070.35,35046.01,9.88,12,3079.15,31.89,0.4,MODERATE
Rice,Punjab,6.29,2.8,27302.1,193091.32,17.61,480789.98,287698.66,126719.08,10.98,12,11198.46,59.84,0.44,SAFE
Rice,Bihar,4.63,2.28,26959.19,246155.06,10.56,284689.05,38533.99,193896.16,11.69,6,33426.77,13.54,5.03,RISKY
Rice,Punjab,5.17,3.32,21443.71,215163.6,17.16,367974.06,152810.46,205222.23,9.17,9,23682.56,41.53,1.34,SAFE
Wheat,Haryana,2.62,2.4,23437.17,210277.79,6.29,147419.8,-62857.99,243907.79,10.97,9,28354.63,-42.64,999.0,RISKY
Wheat,Uttar Pradesh,3.23,2.02,27899.64,53631.58,6.52,181905.65,128274.07,299941.67,8.86,6,51290.03,70.52,2.34,MODERATE
Wheat,Punjab,4.2,1.72,25171.76,89016.12,7.22,181740.11,92723.99,265247.73,9.8,6,45480.13,51.02,2.86,MODERATE
Rice,Haryana,6.94,1.99,18634.46,102325.82,13.81,257341.89,155016.07,213130.45,11.07,6,36677.43,60.24,1.37,SAFE
Rice,Bihar,4.6,3.08,18422.83,217411.38,14.17,261051.5,43640.12,122077.32,8.5,9,14049.06,16.72,2.8,RISKY
Rice,Bihar,8.33,2.3,21630.01,119036.14,19.16,414430.99,295394.85,72572.54,7.75,9,8326.24,71.28,0.25,SAFE
Wheat,Madhya Pradesh,3.0,2.94,24639.34,89195.7,8.82,217318.98,128123.28,61554.69,7.0,6,10469.59,58.96,0.48,SAFE
Wheat,Haryana,6.94,2.56,18801.89,205263.05,17.77,334109.59,128846.54,241920.7,10.56,9,28076.62,38.56,1.88,SAFE
Wheat,Punjab,3.33,3.45,24692.97,126655.46,11.49,283722.23,157066.77,242094.18,7.84,9,27785.69,55.36,1.54,SAFE
Rice,Madhya Pradesh,4.81,2.1,23148.87,190005.56,10.1,233803.59,43798.03,126452.52,7.25,9,14478.12,18.73,2.89,RISKY
Rice,Uttar Pradesh,5.9,2.19,18226.52,201384.34,12.92,235486.64,34102.3,100922.44,7.17,12,8740.4,14.48,2.96,RISKY
Rice,Bihar,9.59,2.75,28056.06,111569.14,26.37,739838.3,628269.16,127889.94,10.79,9,14856.48,84.92,0.2,SAFE
Rice,Uttar Pradesh,9.78,3.73,26448.23,162393.46,36.48,964831.43,802437.97,248415.8,7.25,12,21523.25,83.17,0.31,SAFE
Wheat,Bihar,6.79,2.47,18137.41,88987.72,16.77,304164.37,215176.65,270239.56,11.77,6,46598.69,70.74,1.26,SAFE
Rice,Punjab,8.65,3.41,28943.6,156867.84,29.5,853836.2,696968.36,188090.38,9.47,6,32219.94,81.63,0.27,SAFE
Wheat,Uttar Pradesh,3.53,1.84,25899.34,157915.13,6.5,168345.71,10430.58,105266.68,9.53,9,12165.64,6.2,10.09,RISKY
Rice,Madhya Pradesh,1.68,2.18,28815.8,235485.26,3.66,105465.83,-130019.43,265031.86,9.89,9,30674.77,-123.28,999.0,RISKY
Wheat,Madhya Pradesh,7.83,2.74,18293.17,187641.63,21.45,392388.5,204746.87,267515.6,7.63,9,30676.92,52.18,1.31,SAFE
Rice,Bihar,4.33,2.42,23248.71,144326.71,10.48,243646.48,99319.77,275360.23,10.19,12,24232.88,40.76,2.77,MODERATE
Rice,Bihar,6.64,3.24,25926.28,237542.07,21.51,557674.28,320132.21,273182.25,10.55,9,31703.45,57.4,0.85,SAFE
Rice,Haryana,5.98,1.79,18650.7,165822.09,10.7,199562.49,33740.4,37852.06,8.42,12,3300.05,16.91,1.12,RISKY
Wheat,Punjab,6.01,2.46,20750.92,59774.62,14.78,306698.6,246923.98,253892.38,7.78,6,43280.77,80.51,1.03,SAFE
Rice,Madhya Pradesh,2.66,2.33,29395.63,181576.38,6.2,182252.91,676.53,177146.0,8.48,12,15449.0,0.37,261.85,RISKY
Rice,Haryana,5.83,3.37,29823.07,166800.87,19.65,586023.33,419222.46,282489.37,11.79,9,32949.73,71.54,0.67,SAFE
Wheat,Uttar Pradesh,2.19,1.67,29393.67,171005.61,3.66,107580.83,-63424.78,99916.36,10.04,9,11571.4,-58.96,999.0,RISKY
Wheat,Madhya Pradesh,8.32,2.02,23012.88,73875.91,16.81,386846.51,312970.6,237320.94,8.94,12,20747.46,80.9,0.76,SAFE
Wheat,Madhya Pradesh,3.9,3.52,18566.03,91504.76,13.73,254911.59,163406.83,214361.61,7.01,6,36460.95,64.1,1.31,SAFE
Rice,Uttar Pradesh,7.31,3.5,19113.5,90595.73,25.58,488923.33,398327.6,267551.2,9.03,6,45773.64,81.47,0.67,SAFE
Wheat,Uttar Pradesh,2.97,2.41,27946.98,244155.35,7.16,200100.38,-44054.97,294795.47,10.34,6,50624.93,-22.02,999.0,RISKY
Rice,Haryana,9.55,3.12,24615.21,120927.28,29.8,733533.26,612605.98,222973.08,10.91,12,19697.37,83.51,0.36,SAFE
Wheat,Punjab,6.61,1.57,18622.98,202564.83,10.38,193306.53,-9258.3,293053.81,10.12,9,33949.92,-4.79,999.0,RISKY
Rice,Bihar,1.48,2.4,29814.22,91235.44,3.55,105840.48,14605.04,263616.78,9.83,12,23155.27,13.8,18.05,RISKY
Rice,Uttar Pradesh,6.21,3.04,27261.82,182371.26,18.88,514703.16,332331.9,91190.72,10.08,12,8020.51,64.57,0.27,SAFE
Rice,Uttar Pradesh,7.18,3.24,21697.26,186492.27,23.26,504678.27,318186.0,178026.63,7.78,9,20427.49,63.05,0.56,SAFE
Wheat,Madhya Pradesh,6.92,3.67,20445.85,119014.14,25.4,519324.59,400310.45,64263.28,7.7,9,7371.4,77.08,0.16,SAFE
Rice,Haryana,7.71,2.66,21971.95,175691.44,20.51,450644.69,274953.25,278612.1,11.46,6,47999.74,61.01,1.01,SAFE
Rice,Punjab,6.05,2.76,21651.95,141173.51,16.7,361587.57,220414.06,177112.43,8.21,12,15423.93,60.96,0.8,SAFE
Rice,Uttar Pradesh,6.02,2.77,27997.13,57434.48,16.68,466992.13,409557.65,186043.2,7.84,9,21352.6,87.7,0.45,SAFE
Rice,Madhya Pradesh,5.17,3.23,26487.91,248942.12,16.7,442348.1,193405.98,162008.14,11.32,9,18860.57,43.72,0.84,SAFE
Rice,Uttar Pradesh,3.8,3.18,19175.74,225950.49,12.08,231642.94,5692.45,163270.37,8.39,6,27881.49,2.46,28.68,RISKY
Wheat,Madhya Pradesh,9.33,3.06,29853.58,194458.89,28.55,852319.71,657860.82,126980.34,10.03,12,11165.36,77.18,0.19,SAFE
Rice,Madhya Pradesh,5.79,2.24,19241.65,204402.53,12.97,249564.2,45161.67,97611.91,8.0,9,11210.5,18.1,2.16,RISKY
Rice,Madhya Pradesh,5.0,2.42,23138.2,100520.49,12.1,279972.22,179451.73,66133.86,10.85,12,5840.39,64.1,0.37,SAFE
Rice,Uttar Pradesh,4.48,3.78,29333.81,92631.02,16.93,496621.4,403990.38,71267.45,7.67,12,6188.57,81.35,0.18,SAFE
Wheat,Madhya Pradesh,9.16,1.98,28640.42,167070.96,18.14,519537.22,352466.26,81018.1,9.65,6,13885.61,67.84,0.23,SAFE
Rice,Uttar Pradesh,8.48,4.0,26378.41,122214.65,33.92,894755.67,772541.02,261253.05,7.61,6,44513.72,86.34,0.34,SAFE
Wheat,Punjab,8.76,2.11,19974.19,142732.48,18.48,369123.03,226390.55,192340.66,8.44,9,22129.76,61.33,0.85,SAFE
Rice,Bihar,5.07,3.58,18896.17,161970.39,18.15,342965.49,180995.1,55732.03,9.41,6,9545.27,52.77,0.31,SAFE
Wheat,Punjab,2.71,2.9,26707.58,100867.41,7.86,209921.58,109054.17,202073.26,11.04,12,17863.34,51.95,1.85,MODERATE
Wheat,Haryana,5.75,3.98,19615.03,122373.03,22.89,448988.04,326615.01,133075.38,11.9,9,15528.94,72.74,0.41,SAFE
Wheat,Bihar,5.67,2.58,26278.91,248123.32,14.63,384460.45,136337.13,72670.17,11.6,9,8469.73,35.46,0.53,SAFE
Wheat,Punjab,7.91,1.75,29862.65,226333.56,13.84,413299.08,186965.52,274312.4,7.44,6,46715.94,45.24,1.47,SAFE
Wheat,Bihar,2.49,2.56,19958.06,164223.74,6.37,127132.84,-37090.9,35267.41,11.32,6,6073.49,-29.17,999.0,RISKY
Rice,Madhya Pradesh,4.87,1.5,22641.94,201555.84,7.3,165286.16,-36269.68,47811.09,9.78,9,5531.16,-21.94,999.0,RISKY
Wheat,Punjab,3.15,3.42,27680.91,151368.26,10.77,298123.4,146755.14,159451.48,11.63,12,14139.49,49.23,1.09,SAFE
Wheat,Uttar Pradesh,8.77,2.91,23122.85,180651.06,25.52,590095.13,409444.07,166703.54,9.87,9,19292.68,69.39,0.41,SAFE
Wheat,Haryana,6.1,2.74,20921.85,82216.89,16.71,349604.11,267387.22,134666.18,11.57,6,23207.82,76.48,0.5,SAFE
Wheat,Madhya Pradesh,9.18,1.63,24294.7,93513.64,14.96,363448.71,269935.07,167977.1,10.67,9,19503.69,74.27,0.62,SAFE
Wheat,Bihar,6.24,2.71,21477.96,218655.55,16.91,363192.3,144536.75,290778.3,8.33,6,49647.29,39.8,2.01,MODERATE
Rice,Uttar Pradesh,8.42,3.38,18894.32,144244.62,28.46,537732.35,393487.73,252412.25,8.29,9,29023.45,73.18,0.64,SAFE
Wheat,Bihar,9.49,2.71,24913.29,116994.84,25.72,640769.82,523774.98,69655.78,8.61,9,8019.83,81.74,0.13,SAFE
Wheat,Madhya Pradesh,6.32,2.56,21916.6,156258.69,16.18,354610.59,198351.9,133006.59,11.75,9,15511.44,55.94,0.67,SAFE
Wheat,Bihar,3.08,2.39,20563.85,144287.19,7.36,151349.94,7062.75,213712.5,7.62,6,36414.55,4.67,30.26,RISKY
Wheat,Uttar Pradesh,1.48,1.65,26294.04,109128.2,2.44,64157.46,-44970.74,51113.7,7.8,12,4441.58,-70.09,999.0,RISKY
Rice,Haryana,9.18,3.79,24132.23,94801.78,34.79,839560.28,744758.5,252858.05,7.63,12,21952.49,88.71,0.34,SAFE
Wheat,Uttar Pradesh,9.07,3.59,22019.4,104979.3,32.56,716951.66,611972.36,152647.09,7.19,12,13221.43,85.36,0.25,SAFE
Wheat,Haryana,2.62,2.75,28823.0,132175.76,7.21,207813.83,75638.07,56016.53,8.75,6,9575.8,36.4,0.74,MODERATE
Wheat,Uttar Pradesh,8.59,1.57,29411.63,106250.98,13.49,396762.89,290511.91,296641.11,7.04,12,25672.86,73.22,1.02,SAFE
Wheat,Madhya Pradesh,8.68,3.94,22336.74,120764.74,34.2,763916.51,643151.77,92847.67,11.39,9,10812.17,84.19,0.14,SAFE
Wheat,Punjab,4.47,1.66,21571.44,82315.57,7.42,160060.08,77744.51,79984.63,11.8,12,7099.06,48.57,1.03,MODERATE
Wheat,Punjab,7.1,3.52,21737.85,203659.27,24.99,543228.87,339569.6,67997.45,11.43,6,11713.7,62.51,0.2,SAFE
Rice,Haryana,6.35,2.29,24744.59,216570.5,14.54,359786.34,143215.84,220836.54,11.25,9,25701.89,39.81,1.54,SAFE
Rice,Haryana,8.33,2.91,22179.7,64967.81,24.24,537635.93,472668.12,215399.76,7.31,6,36669.25,87.92,0.46,SAFE
Wheat,Punjab,8.67,3.34,23991.82,128452.22,28.96,694803.11,566350.89,44402.09,7.66,12,3855.49,81.51,0.08,SAFE
Rice,Punjab,8.67,2.89,20913.29,97460.39,25.06,524087.05,426626.66,175432.1,9.34,6,30040.34,81.4,0.41,SAFE
Rice,Uttar Pradesh,7.26,2.19,20101.56,80899.86,15.9,319614.8,238714.94,263369.43,10.5,12,23215.65,74.69,1.1,SAFE
Wheat,Bihar,5.51,3.26,23827.02,98112.24,17.96,427933.28,329821.04,164735.07,7.9,6,28091.93,77.07,0.5,SAFE
Wheat,Haryana,9.72,1.9,23022.38,178379.12,18.47,425223.36,246844.24,32886.36,11.59,9,3832.76,58.05,0.13,SAFE
Rice,Madhya Pradesh,9.96,3.8,29520.89,156086.33,37.85,1117365.69,961279.36,73595.21,9.79,9,8514.42,86.03,0.08,SAFE
Rice,Haryana,3.21,1.97,21116.27,182818.65,6.32,133454.83,-49363.82,43051.49,7.54,6,7333.87,-36.99,999.0,RISKY
Wheat,Haryana,2.68,3.17,21163.5,104015.8,8.5,179889.75,75873.95,250571.56,7.76,6,42712.22,42.18,3.3,MODERATE
Wheat,Haryana,4.38,3.56,27854.19,225223.47,15.59,434246.82,209023.35,47000.01,9.94,9,5440.89,48.13,0.22,SAFE
